question_index,category,criteria,question_for_user,criteria_weight,score_allowed_values,description,sub_question_to
1,dialogue,Presence of mechanisms that ensure participation of community members in decision-making processes,"Are there opportunities / communication channels, such as e.g., meetings, forums, social media, for community members to communicate (e.g. express concerns, ideas, feedback) with decision-making authorities?",0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,
2,dialogue,Presence of mechanisms that ensure participation of community members in decision-making processes,Have these communication channels been used in the past year?,0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,1
3,dialogue,Ability and willingness to ensure gender equal participation,"Are women actively involved in community leadership roles, such as village councils or committees?",0.0170835875533862,"[[1.0, 'Yes'],[0.0, 'No']]",,
4,dialogue,Ability and willingness to ensure gender equal participation,Is there equal representation of women and men in decision-making bodies within the community?,0.0170835875533862,"[[1.0, 'Yes'],[0.0, 'No']]",,
5,dialogue,Community member’s level of engagement and ownership,"Please assess the level of interest and involvement of community members in supporting the community's energy system, e.g. by occasionally (such as twice per year) leading awareness dialogues or taking over knowledge dissemination responsibilities on a voluntary basis:",0.0219646125686394,"[[1.0, 'Most community members are very interested and willing to be actively involved.'],[0.5, 'A few community members are interested and might be occasionally involved.'],[0.0, 'Community members are not willing to be involved due to other responsibilities.']]",,
6,dialogue,Community member’s level of engagement and ownership,"Please assess the level of interest and willingness by community members to occasionally attend training sessions, workshops, or other relevant events to enhance their knowledge and skills related to the community's energy system: ",0.0219646125686394,"[[1.0, 'Most community members are very interested and willing to attend respective training sessions.'],[0.5, 'Few community members are somewhat interested and may consider attending.'], [0.0, 'Community members will not be interested and unlikely to attend.']]",,
7,steering,Community leader(s) is/are supportive of the mini-grid project,Is the mini-grid project known and recognised by individuals that are considered social/political authorities/leaders?,0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,
8,steering,Community leader(s) is/are supportive of the mini-grid project,Are the community authorities/leaders ready to support the planning and implementation of the mini-grid project with their time and capacities?,0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,
9,steering,"Capacity to form an adequate cooperative structure (newly or based on existing structures), e.g. with the capacity to anticipate and manage project risks","Have there been any past public goods projects implemented by the community (e.g. public infrastructure, public sanitation facilities, places of worship etc.)?",0.0256253813300793,"[[1.0, 'Yes'],[0.0, 'No']]",,
10,steering,"Capacity to form an adequate cooperative structure (newly or based on existing structures), e.g. with the capacity to anticipate and manage project risks","During the last 12 months, did community members meet to decide on issues concerning the public interest, such as raising funds for community projects, making common proposals requesting assistance from government institutions or politicians, or seeking help from NGOs, or church organizations?  ",0.0256253813300793,"[[1.0, 'Yes'],[0.0, 'No']]",,
11,steering,"Capacity to form an adequate cooperative structure (newly or based on existing structures), e.g. with the capacity to anticipate and manage project risks",Is there any organizational structure similar to a cooperative already existing in the community that takes ownership of a project in the community’s interest?  ,0.0256253813300793,"[[1.0, 'Yes'],[0.0, 'No']]",,
